origin,destination,flow
188,293,1
188,294,1
188,295,1
188,320,1
188,328,1
188,329,2
188,351,1
188,360,1
188,380,1
188,388,2
188,409,1
188,421,1
188,439,1
188,467,8
188,491,1
188,492,2
188,518,1
188,519,2
188,573,1
188,574,1
188,589,1
189,164,1
189,166,1
189,167,1
189,182,1
189,183,1
189,187,2
189,206,3
189,207,1
189,209,2
189,210,3
189,212,2
189,232,1
189,261,1
189,283,1
189,518,1
190,184,1
190,187,1
190,517,1
196,159,3
196,175,5
196,176,1
196,184,2
196,185,1
196,197,2
196,201,1
196,209,3
196,224,1
196,233,1
196,255,1
196,261,2
196,279,1
196,467,1
196,496,1
196,571,1
197,143,1
197,178,2
197,186,1
197,196,1
197,198,1
197,206,1
197,219,1
197,247,1
197,256,1
197,523,1
198,159,1
198,176,1
198,177,15
198,178,3
198,179,1
198,180,1
198,183,1
198,204,3
198,209,1
198,230,1
198,246,1
198,442,1
198,446,1
198,81,1
199,167,2
199,196,2
199,203,1
199,232,1
200,179,2
200,188,1
200,199,1
200,201,4
200,224,1
201,179,3
201,182,4
201,187,1
201,200,1
201,204,2
201,209,1
201,210,5
201,224,2
202,181,2
202,182,1
202,186,2
202,203,3
202,204,1
202,207,1
202,208,1
202,209,1
202,225,2
202,233,1
202,254,1
202,261,1
203,162,1
203,164,1
203,182,2
203,184,1
203,185,2
203,186,5
203,187,2
203,188,3
203,199,1
203,201,1
203,202,2
203,204,2
203,206,1
203,207,3
203,208,2
203,209,3
203,223,2
203,224,1
203,226,2
203,227,1
203,250,1
203,264,1
203,312,2
203,439,1
203,443,1
204,177,2
204,178,2
204,182,4
204,183,2
204,184,3
204,185,5
204,186,2
204,187,3
204,188,1
204,196,1
204,198,1
204,202,1
204,203,1
204,205,3
204,206,4
204,207,2
204,208,7
204,209,2
204,210,3
204,223,1
204,225,1
204,226,1
204,227,3
204,230,1
204,236,1
204,253,2
204,254,1
204,281,3
204,314,3
204,348,1
204,351,1
204,412,2
204,417,1
204,418,1
204,467,4
204,495,1
204,68,1
205,182,1
205,183,2
205,184,6
205,187,2
205,188,1
205,189,1
205,204,2
205,207,2
205,229,1
205,232,1
205,253,1
205,254,1
205,351,1
205,353,3
206,143,2
206,159,1
206,165,2
206,182,2
206,184,2
206,185,16
206,186,9
206,187,9
206,189,1
206,202,1
206,204,4
206,205,1
206,207,10
206,208,8
206,209,10
206,211,2
206,212,1
206,223,1
206,228,3
206,229,3
206,232,1
206,233,1
206,235,1
206,254,1
206,255,3
206,256,1
206,259,1
206,261,2
206,284,4
206,288,1
206,294,1
206,295,1
206,444,1
207,134,1
207,164,3
207,165,4
207,166,1
207,167,1
207,168,2
207,181,1
207,183,4
207,184,2
207,185,16
207,186,21
207,187,23
207,188,11
207,189,3
207,190,1
207,198,1
207,202,2
207,203,1
207,204,2
207,206,7
207,208,25
207,209,24
207,210,6
207,211,2
207,226,1
207,229,7
207,232,3
207,233,2
207,234,1
207,235,1
207,237,1
207,251,2
207,255,1
207,257,1
207,261,3
207,263,1
207,264,1
207,279,1
207,283,1
207,284,1
207,288,1
207,293,3
207,312,1
207,344,1
207,362,1
207,390,1
207,413,1
207,442,1
207,470,1
207,518,2
207,68,3
208,157,1
208,160,1
208,164,4
208,165,6
208,167,1
208,169,1
208,177,2
208,178,1
208,181,1
208,183,2
208,184,7
208,185,12
208,186,38
208,187,45
208,188,24
208,197,1
208,201,1
208,202,2
208,203,1
208,204,3
208,205,1
208,206,9
208,207,28
208,209,65
208,210,10
208,211,2
208,223,3
208,225,2
208,229,3
208,230,1
208,231,2
208,232,4
208,233,10
208,234,3
208,236,2
208,246,2
208,254,1
208,256,2
208,257,2
208,260,1
208,261,7
208,262,6
208,266,2
208,282,2
208,283,1
208,284,2
208,293,4
208,319,1
208,320,3
208,351,1
208,352,1
208,359,1
208,379,1
208,383,2
208,389,1
208,409,1
208,410,1
208,412,3
208,414,1
208,418,1
208,419,1
208,442,1
208,451,1
208,464,1
208,480,1
208,518,3
208,568,1
208,582,1
208,590,2
208,595,1
209,128,1
209,157,1
209,161,1
209,164,6
209,165,6
209,167,2
209,168,1
209,182,2
209,183,2
209,184,5
209,185,24
209,186,33
209,187,31
209,188,49
209,189,4
209,196,2
209,202,2
209,203,3
209,204,3
209,205,2
209,206,5
209,207,18
209,208,59
209,210,41
209,211,9
209,212,1
209,220,2
209,221,1
209,222,1
209,224,1
209,226,6
209,229,6
209,231,1
209,232,35
209,233,9
209,234,5
209,235,4
209,236,1
209,237,1
209,246,1
209,247,5
209,250,6
209,253,3
209,254,7
209,256,1
209,257,1
209,259,1
209,260,2
209,261,5
209,262,2
209,263,10
209,264,2
209,265,1
209,266,1
209,281,2
209,282,1
209,283,1
209,288,3
209,289,5
209,290,1
209,291,1
209,293,5
209,295,1
209,296,3
209,297,5
209,313,1
209,321,2
209,322,2
209,324,3
209,325,1
209,330,1
209,346,3
209,348,1
209,351,2
209,357,1
209,383,2
209,388,4
209,410,3
209,411,2
209,412,1
209,413,1
209,418,1
209,419,2
209,438,1
209,442,2
209,451,2
209,472,1
209,492,6
209,501,1
209,518,7
209,519,3
209,552,1
209,590,1
209,595,1
210,164,2
210,166,1
210,168,1
210,180,1
210,184,1
210,185,2
210,186,9
210,187,17
210,188,11
210,189,2
210,197,1
210,201,5
210,203,1
210,204,1
210,206,1
210,207,7
210,208,8
210,209,29
210,211,10
210,212,2
210,222,1
210,225,1
210,226,3
210,229,2
210,231,1
210,232,12
210,233,4
210,234,1
210,235,3
210,236,1
210,254,1
210,257,4
210,260,1
210,261,6
210,263,1
210,264,1
210,265,1
210,266,3
210,276,1
210,281,1
210,284,2
210,287,1
210,288,4
210,289,2
210,292,1
210,293,1
210,296,1
210,312,1
210,314,3
210,320,2
210,321,1
210,324,1
210,328,1
210,329,1
210,344,1
210,346,1
210,360,2
210,361,2
210,388,1
210,391,1
210,417,1
210,449,1
210,467,1
210,470,1
210,495,1
210,518,2
210,588,1
211,167,1
211,185,1
211,186,4
211,187,9
211,188,7
211,190,1
211,206,1
211,207,2
211,208,6
211,209,7
211,210,9
211,212,1
211,219,1
211,229,1
211,232,3
211,233,5
211,234,3
211,235,2
211,236,2
211,261,2
211,262,1
211,266,1
211,294,1
211,296,1
211,321,2
211,360,1
211,438,1
211,495,1
212,184,2
212,187,2
212,188,1
212,189,3
212,206,1
212,209,1
212,210,1
212,235,1
212,258,1
212,261,1
212,262,2
212,439,1
213,239,1
219,196,3
219,234,1
219,246,1
219,356,1
220,178,1
220,184,5
220,186,1
220,209,3
220,210,1
220,246,1
220,275,1
221,143,1
221,184,1
221,198,2
221,204,1
221,208,1
221,247,1
221,276,1
221,458,1
221,467,1
222,223,2
222,250,1
222,257,1
223,186,1
223,203,1
223,204,2
223,208,1
223,209,3
223,210,1
223,219,1
223,221,2
223,224,1
223,250,2
223,467,1
224,185,1
224,200,1
224,201,1
224,203,1
224,209,1
224,221,2
224,223,1
224,226,1
224,229,1
224,250,2
224,344,1
224,467,1
225,165,2
225,168,1
225,184,2
225,187,1
225,205,1
225,208,2
225,209,1
225,224,1
225,226,2
225,234,1
225,247,1
225,251,1
225,252,1
225,435,1
226,164,1
226,165,1
226,167,1
226,184,1
226,185,1
226,186,5
226,187,3
226,188,2
226,197,1
226,203,1
226,204,1
226,208,1
226,209,3
226,210,4
226,225,3
226,227,1
226,229,2
226,252,1
226,253,2
226,261,1
226,285,1
226,312,1
226,313,1
227,184,2
227,186,1
227,202,1
227,204,3
227,209,1
227,226,2
227,229,1
227,251,1
227,254,1
227,255,1
227,258,1
228,184,1
228,187,1
228,196,1
228,206,1
228,229,4
228,255,3
229,102,1
229,159,1
229,167,3
229,182,1
229,185,3
229,186,5
229,187,9
229,188,3
229,189,1
229,204,1
229,206,6
229,207,6
229,208,2
229,209,3
229,210,2
229,224,1
229,225,1
229,226,2
229,227,1
229,228,2
229,230,1
229,232,1
229,233,2
229,234,1
229,250,1
229,255,4
229,256,6
229,257,5
229,266,1
229,284,3
229,320,1
229,495,1
230,164,1
230,204,2
230,207,1
230,208,2
230,210,1
230,221,1
230,229,1
230,232,2
230,253,1
230,255,1
230,263,1
230,321,1
230,389,1
230,438,1
230,553,1
231,186,1
231,207,1
231,208,2
231,209,5
231,211,1
231,258,5
231,353,1
231,383,1
231,518,1
232,165,2
232,184,1
232,185,2
232,186,6
232,187,5
232,188,6
232,199,1
232,203,1
232,205,1
232,207,2
232,208,8
232,209,30
232,210,11
232,211,3
232,230,2
232,233,5
232,234,3
232,236,1
232,256,1
232,257,1
232,259,4
232,260,4
232,261,1
232,262,2
232,263,1
232,283,1
232,287,2
232,288,3
232,289,1
232,292,1
232,293,1
232,319,1
232,324,2
232,380,1
232,438,1
232,442,1
232,468,1
232,496,1
232,502,1
233,144,1
233,164,1
233,167,1
233,185,4
233,186,1
233,188,5
233,206,3
233,207,2
233,208,8
233,209,9
233,210,7
233,226,1
233,230,1
233,232,9
233,234,9
233,235,2
233,260,3
233,261,4
233,262,3
233,288,3
233,312,1
233,320,1
233,448,1
233,476,1
233,481,1
233,518,1
233,528,1
234,183,1
234,184,1
234,185,1
234,186,1
234,187,6
234,188,1
234,207,3
234,208,2
234,209,5
234,210,4
234,211,4
234,232,2
234,233,10
234,235,3
234,257,1
234,260,1
234,261,6
234,262,2
234,389,2
234,411,2
234,421,3
234,581,1
235,186,1
235,208,2
235,209,4
235,210,8
235,211,3
235,212,1
235,232,1
235,233,1
235,234,3
235,236,1
235,253,1
235,263,1
235,265,2
235,322,1
235,408,1
235,412,1
235,495,1
235,581,1
236,189,1
236,207,1
236,209,4
236,210,2
236,211,2
236,235,2
236,263,2
236,265,1
236,266,5
236,287,1
236,295,1
236,296,2
236,324,1
236,409,1
236,439,1
237,186,1
237,207,2
237,235,1
237,266,1
237,295,1
237,362,1
237,412,1
239,186,1
246,186,1
246,197,1
246,208,1
246,209,1
246,219,1
246,220,2
246,225,1
246,247,4
246,251,1
246,275,4
246,409,1
246,435,1
247,183,1
247,197,1
247,200,1
247,209,1
247,220,5
247,221,1
247,246,4
247,248,1
247,250,1
247,275,1
247,276,1
247,309,1
247,313,1
248,247,1
248,276,1
249,250,4
250,165,1
250,183,2
250,185,1
250,187,1
250,203,1
250,207,1
250,208,1
250,209,4
250,222,2
250,223,3
250,249,5
250,313,2
250,340,2
250,343,1
250,406,1
251,184,1
251,204,2
251,226,1
251,246,1
251,252,3
251,278,1
251,312,1
251,314,2
251,379,1
251,382,1
252,203,1
252,225,1
252,251,3
252,253,2
252,256,1
253,165,2
253,186,2
253,208,1
253,209,4
253,226,1
253,227,1
253,252,2
253,254,2
253,256,1
253,283,1
253,293,1
253,314,1
253,348,1
253,466,1
254,186,1
254,204,1
254,205,1
254,208,1
254,209,6
254,227,3
254,230,1
254,253,4
254,255,9
254,256,1
254,257,1
254,259,1
254,283,1
254,284,1
254,388,1
254,495,1
254,567,2
254,582,2
255,186,1
255,187,1
255,204,1
255,206,2
255,207,2
255,209,1
255,227,1
255,228,4
255,229,3
255,230,1
255,254,10
255,257,1
255,261,1
255,284,2
255,496,2
256,165,1
256,186,2
256,187,2
256,188,2
256,204,1
256,207,1
256,208,3
256,209,2
256,210,1
256,225,1
256,228,1
256,229,4
256,231,1
256,232,1
256,234,2
256,253,1
256,257,4
256,284,2
256,285,1
256,286,1
256,319,1
256,469,3
257,162,1
257,183,1
257,185,1
257,186,1
257,187,1
257,203,1
257,205,1
257,207,1
257,209,2
257,210,5
257,229,1
257,233,1
257,256,4
257,321,1
258,183,1
258,187,1
258,188,1
258,206,1
258,210,1
258,212,1
258,231,7
258,232,3
258,287,1
258,319,1
258,351,1
258,408,1
258,518,1
258,522,1
259,185,2
259,186,3
259,206,1
259,228,1
259,231,1
259,232,1
259,260,1
259,288,2
259,289,1
259,321,1
259,410,4
259,442,1
260,164,1
260,166,1
260,185,2
260,188,1
260,208,1
260,209,2
260,232,1
260,233,4
260,234,3
260,250,1
260,261,5
260,288,1
260,290,1
261,120,1
261,159,3
261,160,1
261,182,1
261,184,2
261,185,2
261,186,1
261,187,2
261,188,2
261,196,1
261,204,1
261,206,2
261,207,1
261,208,4
261,209,14
261,210,1
261,211,3
261,220,1
261,229,1
261,230,1
261,232,3
261,233,3
261,234,6
261,255,1
261,260,7
261,262,13
261,284,1
261,439,1
261,525,1
262,186,4
262,188,1
262,206,1
262,208,5
262,209,4
262,212,1
262,232,2
262,233,1
262,234,3
262,235,1
262,261,14
262,263,10
262,290,2
262,383,2
262,567,1
263,187,1
263,209,3
263,210,1
263,232,1
263,233,3
263,234,1
263,235,1
263,236,1
263,262,13
263,264,1
263,265,1
263,360,1
263,412,1
264,184,1
264,185,2
264,186,1
264,187,1
264,204,5
264,208,1
264,210,2
264,237,1
264,265,2
264,287,1
264,291,1
264,294,1
264,327,5
265,182,1
265,209,1
265,235,2
265,266,2
265,291,1
265,293,1
265,295,1
265,296,1
265,321,3
265,360,1
266,185,1
266,187,3
266,188,1
266,189,1
266,209,2
266,210,1
266,212,1
266,236,5
266,237,1
266,263,1
266,265,2
266,294,1
266,296,1
266,328,1
275,186,1
275,246,3
275,247,2
275,313,1
275,466,1
276,208,1
276,221,1
276,247,1
276,248,1
276,277,1
277,246,1
277,247,1
277,276,1
277,278,2
277,309,1
278,250,1
278,277,3
279,207,1
279,311,4
279,435,1
279,467,1
280,281,1
281,188,1
281,209,2
281,227,1
281,279,1
281,280,1
281,282,1
281,313,6
282,183,3
282,185,1
282,204,1
282,206,1
282,208,1
282,451,1
283,204,1
283,207,2
283,209,2
283,229,1
283,254,2
283,261,1
283,284,1
283,435,1
284,186,2
284,187,1
284,206,8
284,207,1
284,208,2
284,209,2
284,211,1
284,254,1
284,255,3
284,256,1
284,261,1
285,182,1
285,186,1
286,208,1
286,255,1
287,165,1
287,186,1
287,187,1
287,188,2
287,209,1
287,236,1
287,258,3
287,264,1
287,288,1
287,319,2
287,467,2
287,496,1
287,498,1
288,186,2
288,187,5
288,204,1
288,207,1
288,209,3
288,210,3
288,211,1
288,232,4
288,233,2
288,256,1
288,259,3
288,264,1
288,287,1
288,289,4
288,291,1
288,320,4
288,321,2
288,351,1
288,353,1
288,381,1
288,439,1
288,569,1
289,209,2
289,210,3
289,211,1
289,258,1
289,288,3
289,290,1
289,293,1
289,320,1
289,321,10
289,325,1
289,345,1
289,352,5
289,383,1
289,418,1
289,526,1
289,588,1
290,209,1
290,289,2
290,291,3
290,352,1
290,383,2
290,413,1
291,185,1
291,186,2
291,188,1
291,206,1
291,209,1
291,261,1
291,292,1
291,323,1
291,327,1
291,352,1
291,361,1
291,409,1
291,468,2
292,164,1
292,165,1
292,184,3
292,263,1
292,323,1
292,325,4
292,327,3
292,383,1
292,391,1
293,167,1
293,185,1
293,186,2
293,187,1
293,188,1
293,203,1
293,208,2
293,209,8
293,232,3
293,233,3
293,236,2
293,262,1
293,264,1
293,283,1
293,289,2
293,291,1
293,324,1
293,325,1
293,388,1
293,467,1
293,477,2
293,501,1
293,502,1
294,186,2
294,188,1
294,206,2
294,209,1
294,265,1
294,293,1
294,356,1
295,164,1
295,185,1
295,186,1
295,209,3
295,235,1
295,237,1
295,266,1
295,293,1
295,296,3
296,188,2
296,209,5
296,211,1
296,264,1
296,295,5
296,328,2
296,329,2
297,209,6
305,247,1
306,305,1
309,306,1
309,316,1
311,207,2
311,279,4
311,312,3
311,316,1
311,522,1
312,144,1
312,185,3
312,203,2
312,207,1
312,209,1
312,226,1
312,234,1
312,247,1
312,279,1
312,311,3
312,314,1
312,344,8
312,376,1
312,525,2
313,196,1
313,209,2
313,226,1
313,247,1
313,254,1
313,281,6
313,312,1
313,314,1
313,436,1
314,187,1
314,204,2
314,210,3
314,251,1
314,311,1
314,312,4
314,313,2
314,344,3
314,346,3
314,466,2
316,182,1
316,314,1
316,348,1
316,349,1
316,408,1
316,409,2
316,442,1
317,229,1
319,182,1
319,185,2
319,208,3
319,209,1
319,229,1
319,232,1
319,233,1
319,259,1
319,287,1
319,320,2
319,350,1
319,351,1
319,380,1
319,410,1
319,411,2
319,469,1
319,518,1
319,523,1
319,528,1
320,143,1
320,165,1
320,185,1
320,187,1
320,188,1
320,207,1
320,208,1
320,235,1
320,288,3
320,289,2
320,321,1
320,351,2
320,467,2
321,188,2
321,205,1
321,209,4
321,210,2
321,211,2
321,229,1
321,230,1
321,232,1
321,235,1
321,236,1
321,259,1
321,265,2
321,288,3
321,289,12
321,320,1
321,353,3
322,321,2
322,528,1
323,292,1
323,417,1
324,184,1
324,208,1
324,209,1
324,234,1
324,236,1
324,293,3
324,325,1
325,165,1
325,184,2
325,185,1
325,209,3
325,292,4
325,293,1
325,388,1
325,390,1
325,449,3
325,476,1
326,294,1
326,357,1
327,187,1
327,209,3
327,264,3
327,291,1
327,292,1
327,326,1
327,388,1
327,418,1
328,209,1
328,210,1
328,259,1
328,295,1
328,296,2
328,390,1
329,185,1
329,209,1
329,210,1
329,266,1
329,296,2
329,362,2
330,209,1
330,210,1
330,293,1
330,297,1
338,275,1
340,229,1
340,246,1
340,250,2
340,277,1
343,230,1
343,312,2
343,344,3
344,209,1
344,210,1
344,224,1
344,311,1
344,312,5
344,314,4
344,343,4
344,518,1
345,253,1
345,284,1
345,375,1
345,406,1
346,188,1
346,209,5
346,312,1
346,314,2
346,347,1
346,380,1
347,312,1
347,314,2
348,183,1
348,253,1
348,316,3
348,349,2
348,379,1
348,409,1
349,204,1
349,317,1
349,348,2
349,378,1
349,379,1
349,444,1
350,188,1
350,261,1
350,382,1
351,117,1
351,188,1
351,209,1
351,210,1
351,227,1
351,251,1
351,293,1
351,319,1
351,321,1
351,381,1
351,412,2
351,439,1
351,472,2
351,498,1
351,499,1
351,500,1
351,523,1
352,165,1
352,258,1
352,289,1
352,290,1
352,296,1
352,321,3
352,361,1
352,381,2
352,382,1
353,205,3
353,209,1
353,288,1
353,321,3
353,383,2
353,532,1
353,551,1
356,198,1
356,358,2
356,388,1
356,518,1
357,165,1
357,209,1
357,325,1
357,356,1
357,419,1
358,326,1
358,356,1
358,383,2
358,419,1
359,357,1
359,389,2
360,164,1
360,185,2
360,209,1
360,211,1
360,230,1
360,264,1
360,328,1
360,418,1
360,419,1
361,185,1
361,187,1
361,196,1
361,391,2
362,187,1
362,329,3
362,360,1
374,204,1
374,375,1
375,184,1
375,345,1
375,374,2
375,376,1
376,345,1
376,347,1
376,406,3
376,407,1
378,349,1
379,187,1
379,277,1
379,349,1
379,380,1
380,185,2
380,188,1
380,208,1
380,232,1
380,319,1
380,410,1
380,411,1
380,470,1
381,166,1
381,208,1
381,288,1
381,319,1
381,351,1
381,352,1
381,411,1
382,186,1
382,351,1
382,383,1
382,438,2
382,468,1
383,157,1
383,165,1
383,186,1
383,187,3
383,188,1
383,197,1
383,206,1
383,208,4
383,233,1
383,235,1
383,246,1
383,258,1
383,261,1
383,353,2
383,412,1
383,413,1
383,518,1
383,574,2
387,417,1
388,187,1
388,208,1
388,209,1
388,210,1
388,290,1
388,292,1
388,392,3
388,418,3
388,419,1
388,448,1
388,451,2
389,187,1
389,188,2
389,208,2
389,209,1
389,234,2
389,359,1
389,360,1
389,388,1
389,419,1
389,420,1
389,468,1
389,479,1
390,165,1
390,207,1
390,246,1
390,328,1
390,420,1
391,210,1
391,291,1
391,327,1
391,420,1
391,422,1
392,187,1
392,188,1
392,388,2
392,393,1
392,422,3
392,452,1
393,422,1
406,250,1
406,375,1
406,376,4
406,436,1
407,379,1
407,406,1
407,436,1
407,495,1
407,522,2
408,206,1
408,409,1
408,437,1
408,438,2
409,166,1
409,182,1
409,186,1
409,209,1
409,230,1
409,290,1
409,316,1
409,348,1
409,349,1
409,408,1
409,410,1
409,435,1
409,438,2
409,439,1
409,469,1
409,518,1
410,185,1
410,187,1
410,259,4
410,287,1
410,319,1
410,413,1
410,438,1
410,518,1
410,519,1
410,586,1
411,209,2
411,234,2
411,320,1
411,414,1
411,441,1
411,442,1
411,469,2
411,498,1
412,209,2
412,211,1
412,264,2
412,289,1
412,381,1
412,383,1
412,411,1
412,440,1
412,442,5
412,472,1
412,495,1
413,188,2
413,209,3
413,225,1
413,229,1
413,289,1
413,383,1
413,492,2
414,208,1
414,380,1
414,444,4
414,470,1
417,262,1
417,264,2
417,387,1
417,418,5
417,448,1
417,477,1
418,165,3
418,262,1
418,291,1
418,321,2
418,325,1
418,327,1
418,357,1
418,359,1
418,360,1
418,417,5
418,419,1
418,447,1
418,448,2
418,478,1
418,569,1
419,186,1
419,188,1
419,209,1
419,358,1
419,388,1
419,389,2
419,390,1
419,420,1
419,479,2
420,390,2
420,419,2
420,450,2
420,477,2
421,234,3
421,389,3
421,451,2
422,187,1
422,188,1
422,211,1
422,392,4
422,451,1
429,250,1
429,338,1
43,57,1
43,69,1
434,429,1
434,435,1
435,117,1
435,209,1
435,251,1
435,340,1
435,493,1
435,518,1
435,552,1
436,178,1
436,183,3
436,406,1
436,429,1
436,434,1
436,466,1
436,495,1
437,233,1
438,186,4
438,188,1
438,208,1
438,236,2
438,291,1
438,293,1
438,382,1
438,408,1
438,409,3
438,466,3
438,467,1
438,495,1
439,184,1
439,187,1
439,208,2
439,209,1
439,232,1
439,261,1
439,288,2
439,350,1
439,351,1
439,438,2
439,469,1
439,523,1
44,57,1
440,439,1
440,465,1
441,412,1
442,179,1
442,186,1
442,187,2
442,208,2
442,251,1
442,316,1
442,319,2
442,361,1
442,381,1
442,412,1
442,414,1
442,443,3
442,444,3
442,467,1
442,471,3
442,495,2
442,518,1
442,524,1
442,525,1
442,574,1
442,582,1
443,187,1
443,293,1
443,382,1
443,434,1
443,438,1
443,495,3
443,496,1
443,499,1
443,500,1
443,501,2
443,571,1
444,208,1
444,349,1
444,414,3
444,442,3
444,443,1
444,472,1
