origin,destination,flow
102,116,2
103,116,1
106,56,1
108,93,1
116,128,5
117,128,1
117,182,1
117,57,1
118,128,1
119,120,1
120,118,1
120,119,1
120,147,1
120,208,1
120,261,1
120,71,1
128,102,1
128,116,1
128,117,1
128,120,1
128,184,2
128,186,1
128,229,1
128,247,1
134,233,1
142,143,1
142,435,1
143,142,1
143,164,1
143,177,1
143,186,1
143,198,1
143,200,1
143,204,1
143,221,1
143,225,1
143,343,1
144,142,1
144,158,1
144,233,1
147,444,1
149,210,1
157,179,1
157,187,1
157,358,1
158,144,1
158,178,4
159,175,2
159,187,1
159,196,1
159,198,2
159,206,1
159,225,1
159,232,1
159,234,1
159,261,2
160,162,1
160,182,1
160,187,1
160,234,1
162,203,2
162,226,1
162,257,1
163,185,1
164,120,1
164,143,1
164,165,11
164,167,1
164,181,2
164,184,2
164,185,1
164,186,4
164,187,2
164,188,1
164,196,1
164,203,2
164,204,1
164,207,1
164,208,3
164,209,7
164,226,2
164,230,1
164,232,1
164,235,1
164,236,2
164,261,1
164,293,2
164,295,1
164,418,1
165,164,11
165,181,1
165,182,1
165,184,3
165,185,12
165,186,7
165,187,2
165,189,1
165,197,1
165,207,3
165,208,5
165,209,6
165,210,1
165,211,2
165,212,1
165,225,1
165,232,1
165,233,1
165,254,1
165,261,1
165,264,1
165,283,1
165,288,1
165,292,2
165,295,1
165,319,1
165,352,1
165,418,2
165,436,1
165,439,1
165,499,1
165,518,1
166,184,3
166,186,9
166,187,1
166,188,1
166,208,1
166,209,4
166,258,1
166,262,1
166,381,1
166,471,1
167,164,1
167,184,1
167,186,2
167,187,8
167,206,1
167,208,1
167,209,2
167,210,2
167,229,4
167,232,1
168,163,1
168,187,1
168,207,1
168,208,2
168,209,1
169,188,3
175,196,7
176,177,2
176,197,1
176,198,1
176,204,2
176,459,1
177,176,3
177,184,3
177,185,4
177,187,4
177,196,2
177,198,13
177,204,2
177,208,1
178,158,1
178,159,1
178,177,4
178,188,1
178,196,1
178,197,1
178,198,1
178,208,1
178,226,1
178,258,1
178,469,1
179,157,1
179,159,1
179,184,2
179,187,3
179,200,2
179,201,2
179,442,1
180,177,1
180,178,1
180,198,1
180,204,1
181,159,1
181,164,3
181,180,1
181,183,1
181,185,1
181,188,1
181,202,1
181,204,2
181,209,4
181,251,1
182,160,1
182,162,1
182,166,1
182,181,5
182,183,4
182,184,1
182,187,2
182,188,1
182,200,1
182,201,2
182,202,2
182,203,3
182,204,2
182,206,1
182,207,2
182,209,3
182,256,1
182,261,1
182,380,1
182,438,1
183,128,1
183,181,1
183,182,4
183,184,4
183,185,2
183,186,3
183,187,1
183,188,1
183,198,1
183,202,1
183,203,1
183,204,2
183,205,4
183,209,6
183,224,1
183,232,1
183,257,1
183,288,1
183,313,1
183,329,1
183,409,1
183,458,3
183,460,1
184,116,1
184,128,1
184,164,1
184,165,1
184,166,3
184,178,1
184,179,2
184,181,1
184,183,5
184,185,10
184,186,5
184,187,11
184,188,4
184,190,1
184,198,1
184,202,1
184,203,2
184,204,3
184,205,3
184,207,3
184,208,5
184,209,9
184,210,2
184,211,1
184,212,1
184,219,1
184,221,1
184,223,2
184,224,1
184,225,1
184,226,3
184,235,1
184,254,1
184,261,2
184,262,1
184,264,1
184,324,1
184,325,1
184,375,1
184,439,1
184,479,1
184,518,1
184,521,2
184,527,1
184,551,1
185,103,1
185,164,1
185,165,13
185,166,2
185,167,1
185,177,2
185,183,1
185,184,9
185,186,43
185,187,15
185,188,10
185,198,1
185,199,1
185,204,3
185,206,8
185,207,11
185,208,20
185,209,20
185,210,5
185,211,3
185,220,1
185,225,2
185,226,1
185,229,1
185,234,2
185,237,1
185,254,2
185,256,2
185,259,1
185,260,1
185,261,1
185,262,1
185,263,1
185,264,1
185,266,1
185,282,1
185,292,2
185,293,1
185,311,1
185,312,2
185,316,1
185,319,3
185,321,1
185,340,1
185,344,1
185,351,1
185,380,2
185,418,1
185,420,2
185,468,1
185,472,1
185,477,1
185,480,1
185,496,1
185,69,1
186,163,1
186,164,2
186,165,4
186,166,12
186,167,3
186,168,1
186,178,1
186,181,1
186,182,2
186,184,9
186,185,35
186,187,57
186,188,13
186,198,1
186,202,1
186,203,3
186,204,2
186,206,13
186,207,38
186,208,41
186,209,29
186,210,6
186,211,5
186,212,1
186,220,1
186,223,1
186,226,3
186,227,2
186,229,11
186,230,1
186,231,1
186,232,4
186,233,2
186,236,1
186,253,2
186,255,1
186,256,3
186,257,1
186,259,2
186,260,2
186,261,2
186,264,1
186,278,1
186,283,1
186,284,3
186,293,2
186,294,1
186,296,1
186,312,1
186,319,1
186,321,1
186,348,1
186,360,1
186,374,1
186,380,1
186,382,2
186,383,2
186,388,1
186,391,1
186,392,1
186,438,1
186,439,1
186,442,1
186,443,1
186,498,1
186,518,1
187,143,1
187,159,1
187,164,5
187,165,5
187,166,1
187,167,8
187,168,1
187,176,1
187,177,1
187,179,1
187,184,6
187,185,13
187,186,48
187,188,20
187,189,1
187,198,1
187,199,1
187,201,2
187,203,3
187,204,7
187,206,11
187,207,25
187,208,47
187,209,37
187,210,7
187,211,9
187,212,1
187,226,1
187,229,11
187,231,1
187,232,4
187,233,7
187,234,5
187,236,1
187,250,3
187,254,2
187,256,2
187,258,1
187,259,1
187,260,1
187,261,1
187,262,1
187,264,1
187,266,6
187,282,1
187,284,1
187,288,4
187,289,1
187,290,1
187,291,1
187,293,2
187,294,1
187,295,1
187,296,1
187,316,1
187,325,1
187,330,1
187,353,1
187,389,2
187,412,1
187,419,1
187,421,1
187,439,2
187,473,1
187,492,1
187,518,2
187,527,1
188,164,3
188,165,1
188,168,1
188,169,2
188,177,1
188,178,1
188,180,1
188,184,1
188,185,12
188,186,21
188,187,28
188,189,1
188,200,1
188,205,1
188,206,2
188,207,6
188,208,23
188,209,46
188,210,13
188,211,7
188,229,4
188,232,6
188,234,1
188,253,1
188,256,4
188,258,1
188,261,1
188,262,1
188,264,2
188,265,2
188,282,2
188,287,1
188,288,1
188,290,1
